DATE,IBM_CLOSE,AAPL_CLOSE,IBM_SHARE,AAPL_SHARE
2013/10/14,182.81,69.3,2735.080138,7215.007215
2013/10/11,182.01,68.85,2747.101808,7262.164125
2013/10/10,180.65,68.4,2767.783006,7309.94152
2013/10/9,177.28,67.98,2820.397112,7355.104442
2013/10/8,174.74,67.19,2861.394071,7441.583569
2013/10/7,177.96,68.14,2809.620139,7337.833871
2013/10/4,180,67.48,2777.777778,7409.602845
2013/10/3,179.76,67.53,2781.486426,7404.116689
2013/10/2,180.84,68.39,2764.875028,7311.010382
2013/10/1,182.23,68.17,2743.785326,7334.604665
2013/9/30,181.06,66.6,2761.51552,7507.507508
2013/9/27,182.76,67.44,2735.828409,7413.997628
2013/9/26,185.98,67.93,2688.461125,7360.51818
2013/9/25,185.25,67.27,2699.055331,7432.733759
2013/9/24,185.74,68.33,2691.934963,7317.430119
2013/9/23,186.74,68.54,2677.519546,7295.010213
2013/9/20,185.79,65.3,2691.210506,7656.967841
2013/9/19,189.08,65.98,2644.38333,7578.053956
2013/9/18,190.09,64.92,2630.333,7701.786815
2013/9/17,187.88,63.61,2661.273153,7860.399308
2013/9/16,188.85,62.88,2647.603918,7951.653944
2013/9/13,187.89,64.95,2661.131513,7698.229407
2013/9/12,186.48,66.04,2681.252681,7571.168988
2013/9/11,186.45,65.34,2681.684098,7652.28038
2013/9/10,182.44,69.1,2740.627055,7235.890014
2013/9/9,180.86,70.71,2764.56928,7071.135624
2013/9/6,178.95,69.6,2794.076558,7183.908046
2013/9/5,180.05,69.19,2777.006387,7226.477815
2013/9/4,179.05,69.67,2792.516057,7176.690111
2013/9/3,179.86,68.26,2779.939953,7324.934076
2013/8/30,178.21,68.07,2805.678694,7345.379756
2013/8/29,178.57,68.69,2800.0224,7279.079924
2013/8/28,178.1,68.58,2807.411567,7290.755322
2013/8/27,178.67,68.26,2798.455253,7324.934076
2013/8/26,180.63,70.27,2768.089465,7115.411982
2013/8/23,181.29,69.99,2758.012025,7143.877697
2013/8/22,181.07,70.27,2761.363009,7115.411982
2013/8/21,180.74,70.18,2766.40478,7124.536905
2013/8/20,180.45,70,2770.850651,7142.857143
2013/8/19,180.13,70.93,2775.773053,7049.20344
2013/8/16,181.21,70.18,2759.229623,7124.536905
2013/8/15,181.65,69.56,2752.546105,7188.039103
2013/8/14,183.35,69.64,2727.024816,7179.781735
2013/8/13,184.22,68.39,2714.14613,7311.010382
2013/8/12,184.88,65.29,2704.456945,7658.140603
2013/8/9,183.64,63.49,2722.718362,7875.255946
2013/8/8,183.74,64.4,2721.23653,7763.975155
2013/8/7,184.36,64.53,2712.085051,7748.334108
2013/8/6,185.81,64.57,2690.920833,7743.534149
2013/8/5,190.19,65.15,2628.949997,7674.597084
2013/8/2,189.86,64.19,2633.519435,7789.375292
2013/8/1,190.5,63.38,2624.671916,7888.923951
2013/7/31,189.75,62.81,2635.046113,7960.515841
2013/7/30,190.69,62.92,2622.056741,7946.598856
2013/7/29,190.89,62.15,2619.30955,8045.052293
2013/7/26,191.99,61.2,2604.302307,8169.934641
2013/7/25,191.87,60.86,2605.931099,8215.576733
2013/7/24,191.27,61.14,2614.105714,8177.952241
2013/7/23,189.69,58.15,2635.879593,8598.452279
2013/7/22,188.82,59.17,2648.024574,8450.228156
2013/7/19,188.29,58.98,2655.478252,8477.449983
2013/7/18,192.62,59.92,2595.784446,8344.459279
2013/7/17,189.27,59.72,2641.728747,8372.404555
2013/7/16,188.59,59.71,2651.254043,8373.806733
2013/7/15,188.74,59.32,2649.146975,8428.860418
2013/7/12,186.86,59.19,2675.800064,8447.372867
2013/7/11,187.57,59.3,2665.671483,8431.703204
2013/7/10,187.03,58.39,2673.367909,8563.110122
2013/7/9,186.11,58.62,2686.583203,8529.512112
2013/7/8,189.69,57.6,2635.879593,8680.555556
2013/7/5,189.64,57.93,2636.574562,8631.106508
2013/7/3,188.01,58.4,2659.433009,8561.643836
2013/7/2,186.3,58.08,2683.843264,8608.815427
2013/7/1,186.09,56.79,2686.871944,8804.366966
2013/6/28,185.92,55.03,2689.328744,9085.953116
2013/6/27,190.34,54.65,2626.878218,9149.130833
2013/6/26,189.57,55.25,2637.548135,9049.773756
2013/6/25,189.69,55.88,2635.879593,8947.745168
2013/6/24,188.29,55.87,2655.478252,8949.346698
2013/6/21,190.16,57.39,2629.364745,8712.319219
2013/6/20,191.99,57.85,2604.302307,8643.042351
2013/6/19,196.46,58.71,2545.047338,8516.436723
2013/6/18,199.31,59.92,2508.654859,8344.459279
2013/6/17,197.53,59.96,2531.261074,8338.892595
2013/6/14,196.71,59.69,2541.812821,8376.612498
2013/6/13,198.24,60.51,2522.195319,8263.097009
2013/6/12,195.74,59.98,2554.40891,8336.112037
2013/6/11,198.44,60.73,2519.653296,8233.163181
2013/6/10,199.46,60.91,2506.768274,8208.832704
2013/6/7,200.75,61.32,2490.660025,8153.94651
2013/6/6,198.27,60.85,2521.813688,8216.926869
2013/6/5,197.24,61.78,2534.982762,8093.234056
2013/6/4,200.59,62.36,2492.646692,8017.960231
2013/6/3,203.28,62.55,2459.661551,7993.605116
2013/5/31,202.38,62.42,2470.599862,8010.253124
2013/5/30,203.68,62.67,2454.831108,7978.299027
2013/5/29,202.28,61.75,2471.821238,8097.165992
2013/5/28,202.14,61.27,2473.533195,8160.60062
2013/5/24,200.14,61.78,2498.251224,8093.234056
2013/5/23,200.57,61.36,2492.895249,8148.63103
2013/5/22,201.37,61.25,2482.991508,8163.265306
2013/5/21,202.99,61.02,2463.175526,8194.034743
2013/5/20,201.97,61.47,2475.61519,8134.04913
2013/5/17,202.78,60.13,2465.726403,8315.316814
2013/5/16,199.14,60.31,2510.796425,8290.499088
2013/5/15,197.8,59.52,2527.805865,8400.537634
2013/5/14,197.7,61.6,2529.084471,8116.883117
2013/5/13,196.98,63.11,2538.328764,7922.674695
2013/5/10,198.92,62.87,2513.573296,7952.918721
2013/5/9,197.72,63.39,2528.828647,7887.679445
2013/5/8,199.26,63.95,2509.284352,7818.608288
2013/5/7,197.18,63.24,2535.754133,7906.388362
2013/5/6,196.36,63.52,2546.343451,7871.536524
2013/5/3,198.03,62.04,2524.869969,8059.31657
2013/5/2,195.98,61.43,2551.280743,8139.345597
2013/5/1,193.31,60.57,2586.519063,8254.911672
2013/4/30,196.12,61.05,2549.459515,8190.00819
2013/4/29,192.84,59.3,2592.823066,8431.703204
2013/4/26,188.16,57.52,2657.312925,8692.628651
2013/4/25,187.81,56.31,2662.265055,8879.41751
2013/4/24,185.64,55.9,2693.385046,8944.543828
2013/4/23,185.54,56,2694.836693,8928.571429
2013/4/22,181.88,54.97,2749.065318,9095.870475
2013/4/19,183.98,53.84,2717.686705,9286.775632
2013/4/18,200.59,54.05,2492.646692,9250.693802
2013/4/17,203.03,55.54,2462.690243,9002.520706
2013/4/16,205.28,58.77,2435.697584,8507.742045
2013/4/15,202.63,57.89,2467.551695,8637.070306
2013/4/12,204.68,59.26,2442.8376,8437.394533
2013/4/11,206.18,59.88,2425.065477,8350.0334
2013/4/10,205.28,60.07,2435.697584,8323.62244
2013/4/9,202.59,58.87,2468.038896,8493.290301
2013/4/8,202.69,58.76,2466.821254,8509.189925
2013/4/5,202.78,58.35,2465.726403,8568.980291
2013/4/4,204.62,58.97,2443.553905,8478.88757
2013/4/3,205.92,59.56,2428.127428,8394.895903
2013/4/2,207.57,59.26,2408.825938,8437.394533
2013/4/1,205.65,59.14,2431.315342,8454.514711
2013/3/28,206.54,61.03,2420.838578,8192.692119
2013/3/27,204.21,62.33,2448.459919,8021.819349
2013/3/26,205.63,63.58,2431.551816,7864.10821
2013/3/25,204.06,63.92,2450.259728,7822.277847
2013/3/22,205.36,63.69,2434.748734,7850.525985
2013/3/21,205.54,62.42,2432.616522,8010.253124
2013/3/20,208.25,62.33,2400.960384,8021.819349
2013/3/19,206.68,62.66,2419.198761,7979.572295
2013/3/18,206.46,62.83,2421.776615,7957.981856
2013/3/15,208.11,61.17,2402.575561,8173.941475
2013/3/14,208.96,59.63,2392.80245,8385.041087
2013/3/13,205.34,59.06,2434.985877,8465.966813
2013/3/12,203.88,59.07,2452.422994,8464.533604
2013/3/11,203.43,60.37,2457.847908,8282.2594
2013/3/8,203.72,59.52,2454.349107,8400.537634
2013/3/7,202.79,59.37,2465.604813,8421.761833
2013/3/6,201.78,58.69,2477.946278,8519.338899
2013/3/5,199.99,59.44,2500.125006,8411.843876
2013/3/4,198.69,57.91,2516.482963,8634.087377
2013/3/1,196.48,59.35,2544.788274,8424.599832
2013/2/28,194.47,60.86,2571.090657,8215.576733
2013/2/27,195.92,61.3,2552.062066,8156.606852
2013/2/26,192.83,61.9,2592.957527,8077.544426
2013/2/25,191.25,61.05,2614.379085,8190.00819
2013/2/22,194.72,62.16,2567.789647,8043.758044
2013/2/21,192.05,61.5,2603.488675,8130.081301
2013/2/20,193,61.89,2590.673575,8078.849572
2013/2/19,193.97,63.42,2577.718204,7883.948281
2013/2/15,194.61,63.44,2569.241046,7881.462799
2013/2/14,193.33,64.33,2586.251487,7772.423442
2013/2/13,193.75,64.39,2580.645161,7765.180929
2013/2/12,193.7,64.51,2581.311306,7750.73632
2013/2/11,193.82,66.17,2579.713136,7556.294393
2013/2/8,195.29,65.49,2560.294946,7634.753397
2013/2/7,193.41,64.56,2585.181738,7744.733581
2013/2/6,194.65,62.69,2568.713075,7975.753709
2013/2/5,195.54,62.76,2557.021581,7966.857871
