DATE,PORT_LOSS,Historical_VaR_2,Historical_ES_2,Parametric_VaR_U_2,Parametric_ES_U_2,Parametric_VaR_W_2,Parametric_ES_W_2,MonteCarlo_VaR_U_2,MonteCarlo_ES_U_2,MonteCarlo_VaR_W_2,MonteCarlo_ES_W_2
2012-02-13 00:00:00,-14171.827171279932,70612.48468133993,68543.29597433083,57310.33936224668,57572.68421364564,70127.88978479814,70427.80048389593,57561.74626290414,56348.696336122775,68527.35573305027,67859.26539830815
2012-02-10 00:00:00,-11393.793836799916,70612.48468133993,68543.29597433083,57221.695381514495,57484.22382451536,70283.78459140961,70583.84130875941,67520.9469427776,63191.76223846386,69047.11812541296,67607.31955724745
2012-02-09 00:00:00,-8803.978287509875,70612.48468133993,68543.29597433083,57339.875322147156,57602.063128530164,70336.74967841746,70637.06482707977,45013.04272621521,44352.97934739291,69376.72424236475,73545.53510581703
2012-02-08 00:00:00,-20177.201600220054,70612.48468133993,68543.29597433083,57335.601170542766,57597.827756292885,70506.03892446449,70806.25660881819,60722.7320905712,60078.52827879096,73480.13314768067,73096.81193452278
2012-02-07 00:00:00,-42346.37153951998,70612.48468133993,68543.29597433083,57495.834359638975,57758.09915425605,70659.85784904985,70960.23190798401,56087.97512313491,55889.25335499216,88673.80053377699,81135.23595834196
2012-02-06 00:00:00,-43062.158969570184,70612.48468133993,68543.29597433083,57451.55062622309,57713.95186926692,70797.4960006813,71098.07612545497,58760.32207476208,58656.57922242169,70841.28134120116,67956.56534092547
2012-02-03 00:00:00,-35438.174632520066,70612.48468133993,68543.29597433083,58143.620359314606,58406.958684073645,70900.25364794175,71201.08450115495,60036.4169988184,62017.80708949494,68122.8519983684,64848.88741060868
2012-02-02 00:00:00,-47940.27674087009,70612.48468133993,68543.29597433083,58034.09208290721,58297.505515489145,71059.93390029192,71360.89398674632,57878.33436893788,57595.43237529313,61448.83377389284,61671.95969655262
2012-02-01 00:00:00,-25326.706371149863,70612.48468133993,68543.29597433083,57981.532478705514,58244.98931391584,71081.43304059876,71382.64018245786,71272.59017575276,67514.59534620903,70458.35667644581,68516.29825270317
2012-01-31 00:00:00,-15487.73246949003,70612.48468133993,68543.29597433083,57949.14029379911,58212.886738732224,71153.32248805522,71454.7901453427,55055.54419450811,54804.15054088101,69654.65201761783,68604.06471285784
2012-01-30 00:00:00,-12925.673190420028,70612.48468133993,68543.29597433083,58481.503476138925,58745.80023312068,71271.27671031817,71572.98262723198,61339.747434906196,65178.327718942164,76827.0965963197,72605.6277732062
2012-01-27 00:00:00,-22265.443173389882,70612.48468133993,68543.29597433083,59187.19480800186,59452.68641282222,71436.0516184147,71737.85548721487,63861.41996000311,61858.29047179219,68484.43291374412,68067.0080353802
2012-01-26 00:00:00,-13271.380405399948,70612.48468133993,68543.29597433083,59083.490657853545,59349.0142372821,71530.07193056704,71832.13171922497,56497.06022736058,56967.31303953261,71289.1650763012,73823.28445029793
2012-01-25 00:00:00,-12937.757423370029,70612.48468133993,68543.29597433083,59002.348661024706,59266.8077223209,71547.61815989122,71849.92332948034,56018.57332409301,58290.36492538781,76762.85248516407,70301.7919509661
2012-01-24 00:00:00,-44622.831003939966,70612.48468133993,68543.29597433083,58899.85363658902,59164.59529358975,71641.52623010974,71943.0584726599,65723.67713517218,61808.02216328125,79767.76646260079,82037.49197490483
2012-01-23 00:00:00,-36596.82964333007,70612.48468133993,68543.29597433083,59942.77883349673,60209.19297162385,71677.73305382731,71979.51908070175,57203.27012888389,57260.53059781301,68260.21366545383,69041.2764147058
2012-01-20 00:00:00,-37189.7023094201,70612.48468133993,68543.29597433083,60218.22113771853,60484.642021284206,71844.2513014942,72146.11986685032,62063.83320883359,59528.790756977476,76525.19156858185,75854.63773662261
2012-01-19 00:00:00,-48674.274409510195,70612.48468133993,68543.29597433083,60599.26421276387,60866.27320331836,72013.52766349493,72315.44478613511,65024.27532691532,62102.732608094026,78191.72866929462,75428.18002284029
2012-01-18 00:00:00,-49936.59779628995,70612.48468133993,68543.29597433083,60696.58607644786,60964.63233550743,72050.40522985917,72352.5764864285,56589.45662734215,58526.29022458397,75798.10750419833,77148.65162967866
2012-01-17 00:00:00,-28133.532442139927,70612.48468133993,68543.29597433083,60901.322589693475,61169.41972050257,72199.90651237476,72502.25505915575,69372.78532145766,69350.57221941526,72568.82964772079,72844.7318877013
2012-01-13 00:00:00,-39222.98365721002,70612.48468133993,68543.29597433083,60789.05873925786,61057.15114128974,72349.1408143004,72651.66789222101,63935.00707653444,66470.91736315575,74253.50827076123,73428.0275238487
2012-01-12 00:00:00,-20824.950563990045,70612.48468133993,68543.29597433083,60664.13972696487,60932.229580860585,72346.36902073247,72649.12921900512,59575.70472385583,59650.62308512614,72098.04537341394,70133.55560787341
2012-01-11 00:00:00,-1267.1708634699462,70612.48468133993,68543.29597433083,60701.5672305451,60969.65644788102,72334.59694721946,72637.58404853358,57267.330214312766,59178.57985514699,69588.6730221709,65986.45951079698
2012-01-10 00:00:00,-6199.53275169991,70612.48468133993,68543.29597433083,60843.46654479031,61111.66205952631,72433.2235881678,72736.46492338646,61067.64074967918,61005.562223154564,69438.17773859994,70173.10237366825
2012-01-09 00:00:00,894.0353061499773,70612.48468133993,68543.29597433083,60746.46404976095,61014.72872995294,72523.13898577774,72826.6383250627,51853.212766989134,52527.99216272681,75236.62629037595,74740.77582549733
2012-01-06 00:00:00,12292.523742650053,70612.48468133993,68543.29597433083,60769.649073534296,61037.921173734474,72555.89017373067,72859.64255708375,55605.09589065239,54080.985909912735,76710.22213660309,74649.38305610836
2012-01-05 00:00:00,7146.03637518012,70612.48468133993,68543.29597433083,60961.568280188716,61229.979034554446,72626.79677582986,72930.81046822772,57251.90038601472,55534.337295393896,76106.7753779965,73949.17032030968
2012-01-04 00:00:00,-2342.268423979869,70612.48468133993,68543.29597433083,61030.13286552904,61298.573585476726,72738.99302719918,73043.25228269747,77864.38859518524,66765.65851588141,80827.17702745413,78847.52118379019
2012-01-03 00:00:00,-1290.3887103199959,70612.48468133993,68543.29597433083,61030.03860046505,61298.46366138873,72824.32938465965,73128.84835292678,62528.56916676671,62634.996226739495,74838.47738397215,73770.96542867724
2011-12-30 00:00:00,-14402.712930539972,70612.48468133993,68543.29597433083,61065.53549185977,61333.99986692716,72996.56340091408,73301.11094561359,60440.06899635121,59923.326275022526,70905.09982525569,71658.19435232913
2011-12-29 00:00:00,-11577.507236949983,70612.48468133993,68543.29597433083,61065.86468764546,61334.327094307286,72985.11191836034,73289.8874306248,61968.196775689255,59208.515298749495,70239.94898551097,69403.2265347498
2011-12-28 00:00:00,-20906.077360780095,70612.48468133993,68543.29597433083,61071.31348235486,61339.78196363966,73140.02637053048,73444.96596907976,56620.39298407175,58514.373540701374,80718.22968835314,79426.01557574213
2011-12-27 00:00:00,-10106.310039959964,70612.48468133993,68543.29597433083,61040.42234455689,61309.06108335988,73111.05626551772,73416.21056761488,57874.021491814055,54446.433936799185,74633.74011086742,75135.64167991474
2011-12-23 00:00:00,-13957.979202500079,70612.48468133993,68543.29597433083,61051.41878852458,61320.27823595691,73235.11634133162,73540.5045286282,61623.86107334285,61602.7509160454,76504.35426690592,75529.76777916234
2011-12-22 00:00:00,-13165.257342660101,70612.48468133993,68543.29597433083,61048.05695052736,61316.92155120068,73406.62422533624,73712.06538277178,60158.357804747764,63485.376371378945,85306.58531216765,84524.61710069771
